@relation nursery-weka.filters.unsupervised.instance.RemovePercentage-P80.0-V-weka.filters.unsupervised.instance.RemovePercentage-P30.0-V

@attribute parents {usual,pretentious,great_pret}
@attribute has_nurs {proper,less_proper,improper,critical,very_crit}
@attribute form {complete,completed,incomplete,foster}
@attribute children {1,2,3,more}
@attribute housing {convenient,less_conv,critical}
@attribute finance {convenient,inconv}
@attribute social {nonprob,slightly_prob,problematic}
@attribute health {recommended,priority,not_recom}
@attribute class {not_recom,recommend,very_recom,priority,spec_prior}

@data
usual,proper,complete,1,convenient,convenient,nonprob,recommended,recommend
usual,proper,complete,1,convenient,convenient,nonprob,priority,priority
usual,proper,complete,1,convenient,convenient,nonprob,not_recom,not_recom
usual,proper,complete,1,convenient,convenient,slightly_prob,recommended,recommend
usual,proper,complete,1,convenient,convenient,slightly_prob,priority,priority
usual,proper,complete,1,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,1,convenient,convenient,problematic,recommended,priority
usual,proper,complete,1,convenient,convenient,problematic,priority,priority
usual,proper,complete,1,convenient,convenient,problematic,not_recom,not_recom
usual,proper,complete,1,convenient,inconv,nonprob,recommended,very_recom
usual,proper,complete,1,convenient,inconv,nonprob,priority,priority
usual,proper,complete,1,convenient,inconv,nonprob,not_recom,not_recom
usual,proper,complete,1,convenient,inconv,slightly_prob,recommended,very_recom
usual,proper,complete,1,convenient,inconv,slightly_prob,priority,priority
usual,proper,complete,1,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,1,convenient,inconv,problematic,recommended,priority
usual,proper,complete,1,convenient,inconv,problematic,priority,priority
usual,proper,complete,1,convenient,inconv,problematic,not_recom,not_recom
usual,proper,complete,1,less_conv,convenient,nonprob,recommended,very_recom
usual,proper,complete,1,less_conv,convenient,nonprob,priority,priority
usual,proper,complete,1,less_conv,convenient,nonprob,not_recom,not_recom
usual,proper,complete,1,less_conv,convenient,slightly_prob,recommended,very_recom
usual,proper,complete,1,less_conv,convenient,slightly_prob,priority,priority
usual,proper,complete,1,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,1,less_conv,convenient,problematic,recommended,priority
usual,proper,complete,1,less_conv,convenient,problematic,priority,priority
usual,proper,complete,1,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,complete,1,less_conv,inconv,nonprob,recommended,very_recom
usual,proper,complete,1,less_conv,inconv,nonprob,priority,priority
usual,proper,complete,1,less_conv,inconv,nonprob,not_recom,not_recom
usual,proper,complete,1,less_conv,inconv,slightly_prob,recommended,very_recom
usual,proper,complete,1,less_conv,inconv,slightly_prob,priority,priority
usual,proper,complete,1,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,1,less_conv,inconv,problematic,recommended,priority
usual,proper,complete,1,less_conv,inconv,problematic,priority,priority
usual,proper,complete,1,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,complete,1,critical,convenient,nonprob,recommended,very_recom
usual,proper,complete,1,critical,convenient,nonprob,priority,priority
usual,proper,complete,1,critical,convenient,nonprob,not_recom,not_recom
usual,proper,complete,1,critical,convenient,slightly_prob,recommended,very_recom
usual,proper,complete,1,critical,convenient,slightly_prob,priority,priority
usual,proper,complete,1,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,1,critical,convenient,problematic,recommended,priority
usual,proper,complete,1,critical,convenient,problematic,priority,priority
usual,proper,complete,1,critical,convenient,problematic,not_recom,not_recom
usual,proper,complete,1,critical,inconv,nonprob,recommended,very_recom
usual,proper,complete,1,critical,inconv,nonprob,priority,priority
usual,proper,complete,1,critical,inconv,nonprob,not_recom,not_recom
usual,proper,complete,1,critical,inconv,slightly_prob,recommended,very_recom
usual,proper,complete,1,critical,inconv,slightly_prob,priority,priority
usual,proper,complete,1,critical,inconv,slightly_prob,not_recom,not_recom
